date,total,nobl,growth
2014-11-21 00:00:00-05:00,1170959.8630174354,809770.6935185924,361189.1694988431
2014-11-24 00:00:00-05:00,1175396.918392541,811390.871139764,364006.04725277686
2014-11-25 00:00:00-05:00,1174981.161066571,810418.8904916794,364562.27057489153
2014-11-26 00:00:00-05:00,1179613.7789796798,812686.8715715056,366926.90740817424
2014-11-28 00:00:00-05:00,1183424.0847619248,814793.3543282652,368630.7304336596
2014-12-01 00:00:00-05:00,1174714.4960899844,810256.5264368617,364457.9696531227
2014-12-02 00:00:00-05:00,1179577.8544714916,813659.3244369089,365918.5300345826
2014-12-03 00:00:00-05:00,1182506.6827730348,815927.5416253945,366579.14114764024
2014-12-04 00:00:00-05:00,1181684.6605824635,815279.3446523075,366405.31593015604
2014-12-05 00:00:00-05:00,1181395.2889754784,814955.1674628776,366440.1215126008
2014-12-08 00:00:00-05:00,1176357.0072408472,812524.9010311202,363832.1062097271
2014-12-09 00:00:00-05:00,1175722.322166992,810742.6741666769,364979.64800031506
2014-12-10 00:00:00-05:00,1158319.3500821947,799077.4110348193,359241.9390473753
2014-12-11 00:00:00-05:00,1164883.7512601612,803937.7864925609,360945.96476760035
2014-12-12 00:00:00-05:00,1147992.9687699468,790976.4442260752,357016.5245438717
2014-12-15 00:00:00-05:00,1141714.6284634592,788384.0498481597,353330.5786152996
2014-12-16 00:00:00-05:00,1132482.0272000274,784819.5174163866,347662.50978364074
2014-12-17 00:00:00-05:00,1153716.7769461598,799725.5293050198,353991.24764113995
2014-12-18 00:00:00-05:00,1177789.9969847882,815279.3446523075,362510.65233248076
2014-12-19 00:00:00-05:00,1183759.7597494768,819654.0445975527,364105.71515192406
2014-12-22 00:00:00-05:00,1187743.649395175,822730.383024462,365013.26637071307
2014-12-23 00:00:00-05:00,1187429.162225728,823707.321954395,363721.840271333
2014-12-24 00:00:00-05:00,1189371.113750737,825335.2124584421,364035.9012922948
2014-12-26 00:00:00-05:00,1192441.9735921966,825823.249057533,366618.72453466355
2014-12-29 00:00:00-05:00,1193023.533777505,826474.5941460793,366548.93963142566
2014-12-30 00:00:00-05:00,1188138.4735419329,824032.7583900088,364105.71515192406
2014-12-31 00:00:00-05:00,1176264.113544053,815892.9910582277,360371.12248582515
2015-01-02 00:00:00-05:00,1174694.1711273561,815405.0331620234,359289.13796533283
2015-01-05 00:00:00-05:00,1156726.3170967724,802707.5029710339,354018.8141257385
